epoch, x, y, z, vx, vy, vz
13.390761229186918, 138646579.67926443, -59495973.76628177, -187191.83563465488, 12.982375894604065, 36.257243266700435, -2210.293083005134
13.391764564488227, 139751786.15122044, -56344402.19621189, -378761.5913469759, 12.51514970963582, 36.45165027714687, -2209.343063126634
13.392767899789535, 140816257.85355493, -53176408.00083485, -570220.9139567541, 12.042640327338326, 36.63609292250726, -2207.744697845963
13.393771235090844, 141839553.75045738, -49992865.09783299, -761513.4731031873, 11.565241262882502, 36.81034083118313, -2205.4952941020074
13.394774570392153, 142821267.5098531, -46794666.52102956, -952582.7638406751, 11.083359431856907, 36.97418351413011, -2202.5935206836325
13.395777905693464, 143761028.6049408, -43582722.65373053, -1143372.2255196641, 10.597413748140408, 37.1274313403247, -2199.039425931649
13.396781240994773, 144658503.2904194, -40357959.382412866, -1333825.3618550126, 10.107833636844726, 37.26991639746581, -2194.8344473992006
13.397784576296083, 145513395.44654706, -37121316.18108755, -1523885.8614769534, 9.615057474160695, 37.40149322938452, -2189.981413305768
13.39878791159739, 146325447.28524467, -33873744.137345836, -1713497.7182495096, 9.11953096691117, 37.52203944299394, -2184.484535714311
13.3997912468987, 147094439.9136002, -30616203.931655813, -1902605.3506392804, 8.621705485396916, 37.63145617909279, -2178.3493954574324
13.400794582200009, 147820193.75133678, -27349663.781901397, -2091153.7194239486, 8.122036363702222, 37.729668442910956, -2171.5829189348347
13.40179791750132, 148502568.80005062, -24075097.36544159, -2279088.4430445656, 7.620981181993316, 37.81662529192444, -2164.1933469989913
13.402801252802629, 149141464.76329413, -20793481.731109895, -2466355.9099284746, 7.118998045487437, 37.892299880138026, -2156.190196237032
13.403804588103938, 149736821.01785028, -17505795.213570863, -2652903.387140176, 6.616543874692461, 37.95668935970611, -2147.5842130426063
13.404807923405246, 150288616.43779725, -14213015.36230368, -2838679.1247550584, 6.11407272122009, 38.00981464240042, -2138.387320950312
13.405811258706555, 150796869.07418323, -10916116.897196267, -3023632.4553950136, 5.612034122968298, 38.05172002501095, -2128.612561775883
13.406814594007864, 151261635.6942973, -7616069.702314408, -3207713.888414733, 5.110871511764875, 38.08247268425135, -2118.274031166382
13.407817929309175, 151683011.18562016, -4313836.868866707, -3390875.198282186, 4.611020685681233, 38.1021620481077, -2107.3868092152893
13.408821264610484, 152061127.83055317, -1010372.7977307892, -3573069.506755294, 4.112908357185615, 38.11089905179806, -2095.9668868369986
13.409824599911794, 152396154.45894232, 2293378.6288498305, -3754251.358518382, 3.616950787131995, 38.10881528757933, -2084.0310886232924
13.410827935213101, 152688295.48622507, 5596485.797629173, -3934376.7900053575, 3.12355251330166, 38.096062058535715, -2071.5969929209236
13.41183127051441, 152937789.84572646, 8898031.028924873, -4113403.391201023, 2.6331051808568593, 38.0728093471976, -2058.682849874542
13.41283460581572, 153144909.82420602, 12197112.148493461, -4291290.3602761775, 2.1459864806578626, 38.03924471036769, -2045.307498173275
13.41383794111703, 153309959.81021363, 15492843.960824227, -4467998.550975634, 1.6625591999650078, 37.995572111871674, -2031.4902812230366
13.41484127641834, 153433274.9651407, 18784359.618984308, -4643490.512739711, 1.1831703886220257, 37.942010705106, -2017.250963440814
13.415844611719649, 153515219.82706067, 22070811.88717775, -4817730.523598788, 0.7081506424218896, 37.87879357723516, -2002.6096473328214
13.416847947020957, 153556186.85754302, 25351374.293201447, -4990684.615936044, 0.2378135040147845, 37.80616646670473, -1987.5866919766804
13.417851282322266, 153556594.94159922, 28625242.168978743, -5162320.5952652795, -0.2275450195511239, 37.724386465397785, -1972.202633479779
13.418854617623577, 153516887.85078916, 31891633.578313775, -5332608.05221804, -0.6876468247429857, 37.63372071628886, -1956.4781079330485
13.419857952924886, 153437532.67928827, 35149790.13192557, -5501518.367976798, -1.1422319680708732, 37.53444511685743, -1940.4337773227633
13.420861288226195, 153319018.26239923, 38398977.69068172, -5669024.713428603, -1.5910588153478438, 37.42684303783207, -1924.090258803922
13.421864623527505, 153161853.58659747, 41638486.958747335, -5835102.04234586, -2.0339040886358015, 37.31120406606579, -1907.468057678424
13.422867958828812, 152966566.19973943, 44867633.9690937, -5999727.078928167, -2.470562816538737, 37.18782277951146, -1890.5875043608098
13.423871294130121, 152733700.62954652, 48085760.464461625, -6162878.300060874, -2.9008481940847433, 37.056997561394795, -1873.468695554794
13.424874629431432, 152463816.81791216, 51292234.17745482, -6324535.912663087, -3.3245913588926594, 36.91902945978501, -1856.1314398059533
13.425877964732742, 152157488.5779903, 54486449.013933286, -6484681.826509562, -3.7416410906484345, 36.77422109786166, -1838.595207540814
13.42688130003405, 151815302.08039695, 57667825.144299746, -6643299.622918334, -4.151863441131814, 36.622875639280835, -1820.8790856505093
13.427884635335358, 151437854.3742305, 60835809.00761424, -6800374.519698781, -4.555141302137408, 36.465295812171775, -1803.001736628991
13.428887970636668, 151025751.94797364, 63989873.23374206, -6955893.332753778, -4.951373918639754, 36.30178299445558, -1784.9813622316367
13.429891305937977, 150579609.33470923, 67129516.488939, -7109844.434724906, -5.340476354465395, 36.13263636238178, -1766.8356715804498
13.430894641239288, 150100047.76545677, 70254263.25040928, -7262217.711061646, -5.7223789175700945, 35.958152103433115, -1748.5818536068905
13.431897976540597, 149587693.87383294, 73363663.51544, -7413004.513884778, -6.097026551784193, 35.77862269406141, -1730.236553692951
13.432901311841906, 149043178.4546559, 76457292.45073077, -7562197.614000927, -6.464378201596468, 35.59433624208997, -1711.8158543451682
13.433904647143214, 148467135.27855647, 79534749.98749563, -7709791.151409896, -6.824406156206856, 35.405575893054994, -1693.3352597148737
