epoch, x, y, z, vx, vy, vz
1470091267.8192475, -240796956.4447148, -1481751398.0708807, 34854836.68971959, 7.011827775690703, -1.29939983032845, -0.5604942843268997
1470177783.2852223, -240190289.6020692, -1481863598.8858018, 34806340.15481564, 7.012643316658156, -1.2943748542014488, -0.5606123987756545
1470264298.7511973, -239583552.29238364, -1481975364.9515057, 34757833.408425786, 7.013456780172994, -1.2893496222325398, -0.5607303458416705
1470350814.218173, -238976744.6953827, -1482086696.2458425, 34709316.46503052, 7.014268166399542, -1.2843241340472278, -0.5608481255422234
1470437329.6841488, -238369866.9907771, -1482197592.746629, 34660789.33910877, 7.0150774755004175, -1.2792983892707532, -0.5609657378944528
1470523845.1501248, -237762919.35826322, -1482308054.4316497, 34612252.04513803, 7.015884707636551, -1.2742723875280944, -0.5610831829153614
1470610360.6161013, -237155901.97752374, -1482418081.2786567, 34563704.59759431, 7.016689862967168, -1.2692461284439676, -0.5612004606218162
1470696876.0830777, -236548815.0282277, -1482527673.2653706, 34515147.01095219, 7.017492941649804, -1.2642196116428273, -0.561317571030548
1470783391.5490544, -235941658.6900304, -1482636830.3694777, 34466579.29968476, 7.01829394384029, -1.2591928367488663, -0.5614345141581513
1470869907.0150313, -235334433.14257392, -1482745552.5686336, 34418001.47826374, 7.019092869692764, -1.2541658033860175, -0.5615512900210841
1470956422.4810085, -234727138.56548703, -1482853839.8404598, 34369413.561159395, 7.019889719359667, -1.2491385111779525, -0.5616678986356685
1471042937.9479861, -234119775.1383853, -1482961692.1625457, 34320815.56284059, 7.020684492991744, -1.244110959748085, -0.5617843400180904
1471129453.413964, -233512343.04087144, -1483069109.5124488, 34272207.4977748, 7.02147719073804, -1.2390831487195673, -0.5619006141843997
1471215968.8799422, -232904842.4525352, -1483176091.8676937, 34223589.38042812, 7.022267812745906, -1.2340550777152952, -0.5620167211505098
1471302484.3459208, -232297273.5529539, -1483282639.2057712, 34174961.22526526, 7.023056359161, -1.2290267463579057, -0.5621326609321979
1471388999.8118994, -231689636.52169198, -1483388751.5041413, 34126323.046749584, 7.023842830127276, -1.2239981542697778, -0.5622484335451056
1471475515.2788785, -231081931.53830191, -1483494428.74023, 34077674.85934311, 7.024627225786998, -1.2189693010730334, -0.5623640390047373
1471562030.744858, -230474158.78232354, -1483599670.8914313, 34029016.67750652, 7.0254095462807316, -1.2139401863895387, -0.5624794773264623
1471648546.2108376, -229866318.4332849, -1483704477.9351063, 33980348.51569915, 7.026189791747348, -1.2089108098409034, -0.5625947485255132
1471735061.6768177, -229258410.67070195, -1483808849.8485825, 33931670.38837906, 7.02696796232402, -1.2038811710484811, -0.5627098526169865
1471821577.143798, -228650435.67407885, -1483912786.609156, 33882982.31000299, 7.027744058146228, -1.1988512696333713, -0.5628247896158424
1471908092.609779, -228042393.62290826, -1484016288.1940894, 33834284.29502638, 7.028518079347753, -1.1938211052164187, -0.5629395595369054
1471994608.0757601, -227434284.69667113, -1484119354.5806124, 33785576.35790342, 7.029290026060685, -1.1887906774182142, -0.5630541623948635
1472081123.5417414, -226826109.07483718, -1484221985.7459219, 33736858.51308702, 7.030059898415413, -1.183759985859095, -0.5631685982042685
1472167639.0087233, -226217866.93686494, -1484324181.6671824, 33688130.77502883, 7.030827696540635, -1.178729030159145, -0.5632828669795363
1472254154.4747055, -225609558.46220174, -1484425942.321525, 33639393.158179276, 7.031593420563353, -1.1736978099381965, -0.5633969687349466
1472340669.940688, -225001183.83028415, -1484527267.6860483, 33590645.67698754, 7.032357070608873, -1.1686663248158293, -0.5635109034846427
1472427185.4066708, -224392743.22053796, -1484628157.737817, 33541888.345901605, 7.033118646800806, -1.1636345744113714, -0.5636246712426322
1472513700.8736541, -223784236.8123782, -1484728612.453865, 33493121.179368217, 7.033878149261066, -1.1586025583439012, -0.5637382720227859
1472600216.339638, -223175664.78520963, -1484828631.8111906, 33444344.191832963, 7.034635578109876, -1.1535702762322455, -0.5638517058388394
1472686731.805622, -222567027.3184265, -1484928215.7867613, 33395557.39774022, 7.035390933465762, -1.1485377276949817, -0.5639649727043912
1472773247.2716064, -221958324.59141293, -1485027364.3575099, 33346760.81153321, 7.036144215445553, -1.1435049123504373, -0.5640780726329042
1472859762.7385914, -221349556.78354308, -1485126077.500337, 33297954.44765399, 7.0368954241643875, -1.1384718298166918, -0.564191005637705
1472946278.2045765, -220740724.07418114, -1485224355.1921105, 33249138.320543464, 7.037644559735706, -1.133438479711575, -0.5643037717319842
1473032793.6705623, -220131826.64268163, -1485322197.4096646, 33200312.444641426, 7.038391622271257, -1.128404861652671, -0.5644163709287962
1473119309.1365485, -219522864.6683894, -1485419604.1298006, 33151476.834386516, 7.039136611881089, -1.1233709752573138, -0.564528803241059
1473205824.6035352, -218913838.33063984, -1485516575.3292866, 33102631.50421627, 7.039879528673563, -1.1183368201425923, -0.5646410686815547
1473292340.0695221, -218304747.80875915, -1485613110.9848576, 33053776.46856714, 7.04062037275534, -1.1133023959253492, -0.5647531672629293
1473378855.5355096, -217695593.28206432, -1485709211.0732157, 33004911.74187447, 7.04135914423139, -1.1082677022221799, -0.5648650989976925
1473465371.0014973, -217086374.92986327, -1485804875.57103, 32956037.33857254, 7.042095843204986, -1.1032327386494358, -0.564976863898218
1473551886.4674854, -216477092.93145514, -1485900104.454935, 32907153.273094565, 7.042830469777707, -1.0981975048232226, -0.5650884619767431
1473638401.9344742, -215867747.46613032, -1485994897.7015336, 32858259.559872694, 7.043563024049438, -1.093162000359402, -0.5651998932453691
1473724917.4004633, -215258338.7131706, -1486089255.2873945, 32809356.213338047, 7.04429350611837, -1.0881262248735926, -0.5653111577160613
1473811432.8664532, -214648866.85184944, -1486183177.189054, 32760443.24792072, 7.045021916080999, -1.0830901779811675, -0.5654222554006485
1473897948.3324432, -214039332.0614319, -1486276663.3830144, 32711520.678049784, 7.0457482540321275, -1.0780538592972588, -0.5655331863108235
1473984463.7994337, -213429734.5211751, -1486369713.8457444, 32662588.5181533, 7.046472520064861, -1.0730172684367563, -0.5656439504581429
1474070979.2654245, -212820074.41032794, -1486462328.5536802, 32613646.78265833, 7.047194714270615, -1.0679804050143062, -0.5657545478540272
1474157494.731416, -212210351.90813166, -1486554507.4832249, 32564695.485990983, 7.047914836739105, -1.0629432686443152, -0.5658649785097608
1474244010.1974077, -211600567.1938198, -1486646250.6107464, 32515734.642576363, 7.048632887558359, -1.057905858940948, -0.5659752424364914
1474330525.6644, -210990720.44661817, -1486737557.912581, 32466764.26683862, 7.049348866814704, -1.05286817551813, -0.5660853396452313
1474417041.130393, -210380811.84574544, -1486828429.3650315, 32417784.373200998, 7.050062774592778, -1.0478302179895447, -0.566195270146856
1474503556.5963864, -209770841.57041293, -1486918864.9443665, 32368794.976085756, 7.050774610975521, -1.042791985968639, -0.566305033952105
1474590072.0623803, -209160809.7998248, -1487008864.626821, 32319796.08991424, 7.051484376044181, -1.0377534790686187, -0.5664146310715815
1474676587.5293746, -208550716.7131783, -1487098428.3885972, 32270787.729106914, 7.052192069878309, -1.0327146969024517, -0.5665240615157527
1474763102.9953692, -207940562.4896639, -1487187556.205864, 32221769.908083312, 7.052897692555765, -1.0276756390828687, -0.5666333252949496
1474849618.4613645, -207330347.30846533, -1487276248.0547557, 32172742.64126209, 7.053601244152713, -1.0226363052223622, -0.5667424224193663
1474936133.9273598, -206720071.34875995, -1487364503.9113743, 32123705.94306103, 7.054302724743621, -1.0175966949331883, -0.5668513528990619
1475022649.394356, -206109734.7897185, -1487452323.7517874, 32074659.82789704, 7.055002134401265, -1.0125568078273663, -0.5669601167439579
1475109164.8603528, -205499337.81050578, -1487539707.552029, 32025604.310186196, 7.055699473196724, -1.0075166435166798, -0.5670687139638407
1475195680.32635, -204888880.5902803, -1487626655.2881, 31976539.40434371, 7.056394741199387, -1.002476201612677, -0.5671771445683598
1475282195.7923477, -204278363.30819482, -1487713166.935968, 31927465.124783974, 7.057087938476945, -0.9974354817266711, -0.5672854085670285
1475368711.259346, -203667786.1433961, -1487799242.4715657, 31878381.485920575, 7.057779065095392, -0.9923944834697401, -0.5673935059692241
1475455226.7253444, -203057149.27502555, -1487884881.870793, 31829288.502166275, 7.058468121119034, -0.9873532064527296, -0.5675014367841874
1475541742.1913433, -202446452.88221875, -1487970085.1095166, 31780186.18793306, 7.059155106610478, -0.9823116502862508, -0.5676092010210229
1475628257.657343, -201835697.1441062, -1488054852.1635683, 31731074.557632115, 7.059840021630636, -0.9772698145806812, -0.5677167986886988
1475714773.124343, -201224882.2398131, -1488139183.0087469, 31681953.62567387, 7.060522866238727, -0.9722276989461668, -0.5678242297960474
1475801288.5903437, -200614008.3484596, -1488223077.6208174, 31632823.406467985, 7.061203640492274, -0.9671853029926215, -0.5679314943517639
1475887804.0563447, -200003075.64916098, -1488306535.9755108, 31583683.914423402, 7.061882344447108, -0.962142626329727, -0.5680385923644082
1475974319.5223465, -199392084.32102773, -1488389558.0485249, 31534535.163948286, 7.062558978157361, -0.9570996685669352, -0.5681455238424029
1476060834.9883482, -198781034.54316577, -1488472143.8155227, 31485377.169450108, 7.063233541675471, -0.952056429313466, -0.5682522887940347
1476147350.4553509, -198169926.4946765, -1488554293.252135, 31436209.945335623, 7.063906035052185, -0.9470129081783102, -0.568358887227454
1476233865.9213538, -197558760.35465708, -1488636006.3339567, 31387033.506010875, 7.064576458336549, -0.9419691047702285, -0.5684653191506748
1476320381.3873575, -196947536.30220044, -1488717283.0365505, 31337847.865881246, 7.065244811575918, -0.9369250186977534, -0.5685715845715746
1476406896.8533614, -196336254.51639545, -1488798123.3354447, 31288653.039351407, 7.06591109481595, -0.931880649569187, -0.5686776834978946
1476493412.320366, -195724915.1763272, -1488878527.2061331, 31239449.040825397, 7.0665753081006075, -0.926835996992605, -0.5687836159372395
1476579927.786371, -195113518.46107697, -1488958494.624076, 31190235.884706587, 7.06723745147216, -0.9217910605758548, -0.5688893818970779
1476666443.2523766, -194502064.5497225, -1489038025.5647004, 31141013.585397705, 7.067897524971178, -0.9167458399265568, -0.5689949813847417
1476752958.7183824, -193890553.6213381, -1489117120.003399, 31091782.157300863, 7.068555528636539, -0.9117003346521042, -0.5691004144074263
1476839474.1853888, -193278985.8549948, -1489195777.9155297, 31042541.61481756, 7.069211462505423, -0.9066545443596644, -0.5692056809721908
1476925989.6513958, -192667361.42976043, -1489273999.2764173, 30993291.972348657, 7.069865326613318, -0.9016084686561794, -0.5693107810859582
1477012505.1174033, -192055680.52469987, -1489351784.0613523, 30944033.244294457, 7.070517120994009, -0.8965621071483654, -0.5694157147555142
1477099020.5834112, -191443943.31887507, -1489429132.2455914, 30894765.445054676, 7.071166845679592, -0.891515459442714, -0.5695204819875088
1477185536.0504196, -190832149.99134538, -1489506043.8043563, 30845488.589028448, 7.071814500700465, -0.8864685251454929, -0.569625082788455
1477272051.5164285, -190220300.72116756, -1489582518.7128365, 30796202.69061435, 7.072460086085328, -0.881421303862745, -0.5697295171647296
1477358566.9824376, -189608395.687396, -1489658556.9461854, 30746907.764210433, 7.073103601861185, -0.876373795200292, -0.5698337851225728
1477445082.4484475, -188996435.0690827, -1489734158.4795234, 30697603.82421419, 7.073745048053348, -0.87132599876373, -0.5699378866680881
1477531597.9154577, -188384419.04527768, -1489809323.2879364, 30648290.88502261, 7.074384424685424, -0.8662779141584351, -0.5700418218072425
1477618113.3814683, -187772347.7950289, -1489884051.3464766, 30598968.96103215, 7.075021731779332, -0.8612295409895597, -0.5701455905458668
1477704628.8474796, -187160221.49738255, -1489958342.6301613, 30549638.066638794, 7.075656969355289, -0.8561808788620364, -0.5702491928896545
1477791144.3134913, -186548040.33138308, -1490032197.1139743, 30500298.21623803, 7.07629013743182, -0.851131927380576, -0.5703526288441633
1477877659.7805035, -185935804.47607356, -1490105614.772865, 30450949.424224857, 7.076921236025744, -0.8460826861496686, -0.5704558984148138
1477964175.2465162, -185323514.11049548, -1490178595.581748, 30401591.704993825, 7.077550265152193, -0.8410331547735852, -0.5705590016068899
1478050690.712529, -184711169.41368926, -1490251139.5155046, 30352225.07293904, 7.078177224824597, -0.8359833328563768, -0.5706619384255391
1478137206.1785426, -184098770.56469414, -1490323246.548981, 30302849.54245415, 7.078802115054685, -0.8309332200018754, -0.5707647088757724
1478223721.6445563, -183486317.7425484, -1490394916.6569898, 30253465.127932385, 7.079424935852498, -0.8258828158136947, -0.5708673129624636
1478310237.1115706, -182873811.1262896, -1490466149.814309, 30204071.843766563, 7.08004568722637, -0.8208321198952303, -0.5709697506903504
1478396752.5775855, -182261250.8949546, -1490536945.9956813, 30154669.704349082, 7.0806643691829425, -0.8157811318496596, -0.5710720220640332
1478483268.0436008, -181648637.22757977, -1490607305.1758175, 30105258.72407198, 7.081280981727154, -0.810729851279944, -0.571174127087976
1478569783.5096166, -181035970.30320123, -1490677227.3293917, 30055838.917326875, 7.081895524862252, -0.8056782777888278, -0.571276065766506
1478656298.9766326, -180423250.3008547, -1490746712.4310446, 30006410.29850505, 7.08250799858978, -0.8006264109788387, -0.5713778381038139
1478742814.442649, -179810477.39957586, -1490815760.4553823, 29956972.8819974, 7.083118402909584, -0.7955742504522894, -0.5714794441039532
1478829329.9086657, -179197651.77840072, -1490884371.3769765, 29907526.682194512, 7.083726737819814, -0.7905217958112767, -0.5715808837708407
1478915845.3746831, -178584773.61636528, -1490952545.1703653, 29858071.713486604, 7.084333003316918, -0.7854690466576835, -0.5716821571082566
1479002360.8417008, -177971843.09250602, -1491020281.8100507, 29808607.990263604, 7.084937199395648, -0.780416002593178, -0.571783264119844
1479088876.307719, -177358860.38585985, -1491087581.2705011, 29759135.526915096, 7.085539326049051, -0.7753626632192142, -0.5718842048091091
1479175391.7737377, -176745825.67546448, -1491154443.5261512, 29709654.337830406, 7.086139383268483, -0.770309028137034, -0.5719849791794217
1479261907.2397566, -176132739.1403584, -1491220868.5513995, 29660164.437398545, 7.0867373710435935, -0.7652550969476648, -0.5720855872340141
1479348422.706776, -175519600.95958105, -1491286856.3206115, 29610665.840008263, 7.087333289362338, -0.7602008692519235, -0.572186028975982
1479434938.1727953, -174906411.312173, -1491352406.808117, 29561158.560048044, 7.087927138210966, -0.7551463446504135, -0.5722863044082842
1479521453.6388152, -174293170.37717605, -1491417519.9882123, 29511642.611906122, 7.0885189175740315, -0.7500915227435277, -0.5723864135337425
1479607969.1048355, -173679878.33363348, -1491482195.8351586, 29462118.0099705, 7.089108627434385, -0.7450364031314481, -0.5724863563550414
1479694484.5718563, -173066535.3605901, -1491546434.323182, 29412584.76862894, 7.089696267773181, -0.7399809854141458, -0.5725861328747289
1479781000.0378776, -172453141.6370923, -1491610235.4264748, 29363042.902269006, 7.09028183856987, -0.7349252691913818, -0.5726857430952159
1479867515.5038989, -171839697.34218854, -1491673599.1191943, 29313492.42527804, 7.0908653398022, -0.729869254062708, -0.5727851870187759
1479954030.9699206, -171226202.65492916, -1491736525.3754635, 29263933.352043234, 7.091446771446222, -0.7248129396274676, -0.5728844646475456
1480040546.4369426, -170612657.75436658, -1491799014.16937, 29214365.69695153, 7.092026133476282, -0.7197563254847936, -0.5729835759835246
1480127061.9029653, -169999062.81955564, -1491861065.4749668, 29164789.47438977, 7.092603425865027, -0.714699411233612, -0.5730825210285753
1480213577.3689878, -169385418.02955356, -1491922679.2662733, 29115204.698744614, 7.093178648583402, -0.7096421964726426, -0.5731812997844229
1480300092.835011, -168771723.56342018, -1491983855.517273, 29065611.384402577, 7.093751801600649, -0.7045846808003952, -0.5732799122526557
1480386608.3020344, -168157979.60021803, -1492044594.2019148, 29016009.545750044, 7.094322884884306, -0.6995268638151746, -0.5733783584347248
1480473123.768058, -167544186.31901258, -1492104895.2941139, 28966399.19717329, 7.094891898400216, -0.6944687451150792, -0.573476638331944
1480559639.234082, -166930343.89887214, -1492164758.7677488, 28916780.35305846, 7.09545884211251, -0.6894103242980009, -0.5735747519454896
1480646154.7001061, -166316452.51886857, -1492224184.5966654, 28867153.027791634, 7.096023715983621, -0.6843516009616275, -0.573672699276401
1480732670.1661308, -165702512.35807663, -1492283172.7546728, 28817517.23575878, 7.096586519974276, -0.6792925747034398, -0.5737704803255803
1480819185.6331556, -165088523.5955749, -1492341723.2155464, 28767872.991345815, 7.097147254043506, -0.674233245120718, -0.5738680950937923
1480905701.0991805, -164474486.41044536, -1492399835.9530268, 28718220.308938574, 7.0977059181486295, -0.6691736118105346, -0.5739655435816644
1480992216.5652058, -163860400.98177385, -1492457510.9408193, 28668559.202922866, 7.098262512245264, -0.6641136743697602, -0.5740628257896865
1481078732.0312314, -163246267.48865008, -1492514748.1525946, 28618889.687684443, 7.098817036287325, -0.6590534323950631, -0.5741599417182115
1481165247.4982572, -162632086.1101679, -1492571547.561988, 28569211.777609065, 7.099369490227023, -0.6539928854829079, -0.5742568913674546
1481251762.9642832, -162017857.02542517, -1492627909.1426003, 28519525.48708243, 7.099919874014861, -0.6489320332295573, -0.5743536747374935
1481338278.4303093, -161403580.41352442, -1492683832.8679976, 28469830.83049028, 7.100468187599642, -0.643870875231074, -0.5744502918282692
1481424793.8963358, -160789256.4535724, -1492739318.7117107, 28420127.822218347, 7.101014430928458, -0.6388094110833178, -0.5745467426395839
1481511309.3633623, -160174885.32468066, -1492794366.647235, 28370416.476652388, 7.1015586039467005, -0.6337476403819475, -0.5746430271711035
1481597824.829389, -159560467.20596552, -1492848976.6480315, 28320696.808178183, 7.102100706598054, -0.6286855627224246, -0.5747391454223559
1481684340.2954164, -158946002.27654815, -1492903148.6875267, 28270968.8311816, 7.102640738824495, -0.623623177700008, -0.5748350973927313
1481770855.7614436, -158331490.71555498, -1492956882.7391107, 28221232.560048524, 7.103178700566296, -0.6185604849097581, -0.5749308830814825
